DATE,PONHPIM226S
1991-01-01,100
1991-04-01,100.0
1991-07-01,100.18
1991-10-01,101.07
1992-01-01,102.28
1992-04-01,102.13
1992-07-01,102.99
1992-10-01,103.8
1993-01-01,103.85
1993-04-01,104.88
1993-07-01,105.68
1993-10-01,106.67
1994-01-01,107.65
1994-04-01,108.52
1994-07-01,109.18
1994-10-01,109.73
1995-01-01,110.4
1995-04-01,111.05
1995-07-01,112.08
1995-10-01,112.72
1996-01-01,113.71
1996-04-01,114.47
1996-07-01,115.19
1996-10-01,115.85
1997-01-01,116.59
1997-04-01,117.54
1997-07-01,118.39
1997-10-01,119.67
1998-01-01,121.17
1998-04-01,122.85
1998-07-01,124.45
1998-10-01,126.48
1999-01-01,128.33
1999-04-01,130.25
1999-07-01,132.26
1999-10-01,134.25
2000-01-01,136.62
2000-04-01,138.91
2000-07-01,141.1
2000-10-01,143.56
2001-01-01,146.21
2001-04-01,148.58
2001-07-01,150.84
2001-10-01,153.21
2002-01-01,155.76
2002-04-01,158.62
2002-07-01,161.67
2002-10-01,164.89
2003-01-01,167.81
2003-04-01,170.51
2003-07-01,173.88
2003-10-01,177.81
2004-01-01,181.77
2004-04-01,186.34
2004-07-01,191.17
2004-10-01,195.9
2005-01-01,200.78
2005-04-01,206.08
2005-07-01,211.49
2005-10-01,215.94
2006-01-01,219.14
2006-04-01,220.68
2006-07-01,221.04
2006-10-01,222.1
2007-01-01,223.45
2007-04-01,222.87
2007-07-01,220.03
2007-10-01,216.05
2008-01-01,211.06
2008-04-01,205.15
2008-07-01,199.99
2008-10-01,194.18
2009-01-01,193.02
2009-04-01,190.26
2009-07-01,189.4
2009-10-01,189.25
2010-01-01,187.51
2010-04-01,186.6
2010-07-01,183.55
2010-10-01,181.69
2011-01-01,177.71
2011-04-01,176.22
2011-07-01,176.78
2011-10-01,177.13
2012-01-01,177.87
2012-04-01,180.73
2012-07-01,182.95
2012-10-01,185.7
2013-01-01,189.5
2013-04-01,193.36
2013-07-01,196.43
2013-10-01,198.33
2014-01-01,200.8
2014-04-01,202.58
2014-07-01,204.79
2014-10-01,207.49
2015-01-01,210.31
2015-04-01,213.01
2015-07-01,215.7
2015-10-01,218.77
2016-01-01,221.54
2016-04-01,224.74
2016-07-01,228.13
2016-10-01,231.69
2017-01-01,234.68
2017-04-01,238.84
2017-07-01,242.51
2017-10-01,246.07
2018-01-01,250.72
2018-04-01,253.93
2018-07-01,257.14
2018-10-01,259.95
2019-01-01,263.1
2019-04-01,266.67
2019-07-01,269.81
2019-10-01,274.12
2020-01-01,279.39
2020-04-01,282.03
2020-07-01,291.96
2020-10-01,304.7
2021-01-01,315.89
2021-04-01,332.15
2021-07-01,346.25
2021-10-01,358.63
2022-01-01,375.05
